Location,Habitat,Order,Family,UniqueGroup,Length_mm,Width_mm,TrophicStatus,PollutionScore
HoosicRiver,Leaf,Diptera,Chironomidae,10,4,0.7,Collector,7
HoosicRiver,Rock,Diptera,Chironomidae,10,5.9,0.3,Collector,7
HoosicRiver,Rock,Diptera,Chironomidae,10,5,0.25,Collector,7
HoosicRiver,Rock,Diptera,Chironomidae,10,4,0.25,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,13.5,3,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,3,0.3,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,8.5,1,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,7.5,0.8,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,6.4,0.5,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,7,0.7,Collector,7
BirchRoad,Leaf,Diptera,Chironomidae,10,7.6,0.8,Collector,7
BirchRoad,Leaf,Diptera,Perisoma,12,4,1,Collector,
HoosicRiver,Rock,Diptera,,15,4.5,1,Collector,5
BirchRoad,Leaf,Diptera,,15,31,4.5,Collector,5
BirchRoad,Leaf,Diptera,,15,15,3,Collector,5
BirchRoad,Leaf,Diptera,,15,17,2.5,Collector,5
BirchRoad,Leaf,Diptera,,15,20,3.5,Collector,5
BirchRoad,Leaf,Diptera,,15,19,3.5,Collector,5
BirchRoad,Leaf,Diptera,,15,10,3.5,Collector,5
BirchRoad,Leaf,Diptera,,15,20,4,Collector,5
BirchRoad,Leaf,Diptera,,15,16,2,Collector,5
BirchRoad,Leaf,Diptera,,15,12,3,Collector,5
BirchRoad,Leaf,Diptera,,15,11,2,Collector,5
BirchRoad,Leaf,Diptera,,15,10,2,Collector,5
BirchRoad,Leaf,Diptera,,15,12,3,Collector,5
BirchRoad,Leaf,Diptera,,15,12,3,Collector,5
BirchRoad,Leaf,Diptera,,15,20,4,Collector,5
BirchRoad,Leaf,Diptera,,15,15,2,Collector,5
BirchRoad,Leaf,Diptera,,15,15,2,Collector,5
BirchRoad,Leaf,Diptera,,15,15,2,Collector,5
BirchRoad,Leaf,Diptera,,15,11,2,Collector,5
BirchRoad,Leaf,Diptera,,15,12,2,Collector,5
BirchRoad,Leaf,Diptera,,15,9,1,Collector,5
BirchRoad,Leaf,Diptera,,15,15.2,3,Collector,5
BirchRoad,Rock,Diptera,,15,8,1,Collector,5
BirchRoad,Rock,Diptera,,15,6,1,Collector,5
BirchRoad,Rock,Diptera,,15,6,1,Collector,5
BirchRoad,Rock,Diptera,,15,5,1,Collector,5
BirchRoad,Rock,Diptera,,15,7,1,Collector,5
BirchRoad,Leaf,Diptera,,15,12,2,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,12,3,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,6,1.5,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,4,1,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Baetidae,17,6,2,Collector,5
BirchForest,Leaf,Ephemeroptera,Caenidae,18,4,1.5,Collector,5
HoosicRiver,Rock,Ephemeroptera,Caenidae,18,9.5,3.5,Collector,5
HoosicRiver,Rock,Ephemeroptera,Caenidae,18,5,1.5,Collector,5
BirchRoad,Leaf,Ephemeroptera,Caenidae,18,8,2.5,Collector,5
BirchRoad,Leaf,Ephemeroptera,Caenidae,18,8.5,2.4,Collector,5
BirchRoad,Leaf,Ephemeroptera,Caenidae,18,4.8,2,Collector,5
BirchForest,Leaf,Ephemeroptera,Ephemerellidae,19,9,2,Collector,5
BirchForest,Rock,Ephemeroptera,Ephemerellidae,19,9,3,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Ephemerellidae,19,3,1,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Ephemerellidae,19,2.7,1,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Ephemerellidae,19,2.5,1,Collector,5
HoosicRiver,Rock,Ephemeroptera,Ephemerellidae,19,5,2,Collector,5
HoosicRiver,Rock,Ephemeroptera,Ephemerellidae,19,5.5,2.5,Collector,5
BirchRoad,Rock,Ephemeroptera,Ephemerellidae,19,3,1,Collector,5
BirchForest,Rock,Ephemeroptera,Epheremidae,20,25,5,Collector,5
HoosicRiver,Leaf,Ephemeroptera,Leptophlebiidae,22,7,1.5,Collector,2
HoosicRiver,Leaf,Ephemeroptera,Leptophlebiidae,22,4,1,Collector,2
BirchForest,Leaf,Ephemeroptera,Potamanthidae,23,2.5,0.5,Collector,7
BirchForest,Leaf,Ephemeroptera,Potamanthidae,23,5,1,Collector,7
BirchForest,Leaf,Ephemeroptera,Potamanthidae,23,4,1,Collector,7
HoosicRiver,Leaf,Ephemeroptera,Potamanthidae,23,7.5,2.2,Collector,7
HoosicRiver,Leaf,Ephemeroptera,Potamanthidae,23,4,2,Collector,7
HoosicRiver,Rock,Ephemeroptera,Potamanthidae,23,3.5,1.2,Collector,7
HoosicRiver,Rock,Ephemeroptera,Potamanthidae,23,4.5,1.5,Collector,7
HoosicRiver,Rock,Ephemeroptera,Potamanthidae,23,7,2.5,Collector,7
BirchRoad,Leaf,Ephemeroptera,Rhithrogena,24,3,1,Collector,4
HoosicRiver,Rock,Ephemeroptera,Siphlonuridae,25,5,2,Collector,7
HoosicRiver,Rock,Ephemeroptera,Siphlonuridae,25,5,1,Collector,7
HoosicRiver,Rock,Gastropoda,Lymnaeids,27,5.5,2.5,Collector,8
HoosicRiver,Rock,Gastropoda,Lymnaeids,27,4,2,Collector,8
HoosicRiver,Rock,Gastropoda,Lymnaeids,27,4.5,2,Collector,8
HoosicRiver,Rock,Gastropoda,Physid,28,2.2,1.2,Collector,8
HoosicRiver,Leaf,Gastropoda,Physid,28,13,8,Collector,8
HoosicRiver,Leaf,Gastropoda,Physid,28,9,5,Collector,8
HoosicRiver,Rock,Gastropoda,Physid,28,10,6,Collector,8
HoosicRiver,Rock,Gastropoda,Physid,28,11.5,6.5,Collector,8
HoosicRiver,Rock,Gastropoda,Physid,28,9,5.5,Collector,8
HoosicRiver,Rock,Gastropoda,Physid,28,12,6.5,Collector,8
HoosicRiver,Rock,Gastropoda,Physid,28,6,3,Collector,8
HoosicRiver,Rock,Gastropoda,Physid,28,6,3,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3,2,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.96875,2.38125,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,4.7625,4.28625,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,2.69875,1.905,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.96875,2.38125,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.175,2.06375,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,2.7,1.5,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,4,2.5,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,2,1.3,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3,1.7,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3,1.9,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,2.8,2,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,2.4,1.5,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,2.5,1.9,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,4,2.8,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3,1.8,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.2,2,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.3,2,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3,1.8,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.5,2.2,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,2.6,1.7,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.5,2,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3.4,2,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,5,3,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,4,3,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,3,3,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,4,2.5m,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,4,2.5,Collector,8
HoosicRiver,Rock,Gastropoda,Planorbidae,29,5,3.5,Collector,8
HoosicRiver,Rock,Gastropoda,Vulgata,30,4,2.8,Collector,8
HoosicRiver,Rock,Gastropoda,Vulgata,30,2.9,2.1,Collector,8
HoosicRiver,Rock,Gastropoda,Vulgata,30,3.3,3.1,Collector,8
BirchRoad,Leaf,Gastropoda,Vulgata,30,4,3,Collector,
BirchRoad,Leaf,Gastropoda,Vulgata,30,3,2,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,7,0.5,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,5,3,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,4,3,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,4,3,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,4,2.5,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,5,1,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,5,3,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,5,3,Collector,
BirchRoad,Rock,Gastropoda,Vulgata,30,4,2,Collector,
HoosicRiver,Leaf,Gastropoda,Vulgata,30,4,2.5,Collector,8
HoosicRiver,Leaf,Gastropoda,,31,9,5,Collector,8
HoosicRiver,Leaf,Gastropoda,,31,3,1.5,Collector,8
BirchRoad,Leaf,Gastropoda,,31,6,4,Collector,8
HoosicRiver,Leaf,Mollusca,,36,4,2,Collector,8
HoosicRiver,Leaf,Mollusca,,36,3,1.5,Collector,8
HoosicRiver,Leaf,Mollusca,,36,2.3,1,Collector,8
HoosicRiver,Leaf,Mollusca,,36,2,1,Collector,8
BirchRoad,Rock,Mollusca,,36,4,4.5,Collector,8
BirchRoad,Rock,Mollusca,,36,5,4.5,Collector,8
BirchRoad,Rock,Mollusca,,36,3,3.5,Collector,8
BirchRoad,Rock,Mollusca,,36,1,1,Collector,8
BirchRoad,Rock,Mollusca,,36,1,1,Collector,8
BirchRoad,Rock,Mollusca,,36,1,1,Collector,8
BirchRoad,Rock,Mollusca,,36,1,1,Collector,8
BirchRoad,Rock,Mollusca,,36,4,3,Collector,8
BirchForest,Rock,Oligochaeta,,39,10,1,Collector,
BirchRoad,Rock,Trichopetera,Brachycentridae,48,4,0.5,Collector,1
BirchRoad,Rock,Trichopetera,Brachycentridae,48,4.5,0.5,Collector,1
BirchRoad,Rock,Trichopetera,Brachycentridae,48,6,0.8,Collector,1
BirchForest,Leaf,Trichopetera,Hydropsychidae,51,4,0.5,Collector,1
BirchForest,Leaf,Trichopetera,Hydropsychidae,51,3,0.5,Collector,1
BirchForest,Leaf,Trichopetera,Hydropsychidae,51,4,0.5,Collector,1
BirchForest,Leaf,Trichopetera,Hydropsychidae,51,3,0.5,Collector,1
HoosicRiver,Leaf,Trichopetera,Hydropsychidae,51,8,1.2,Collector,1
HoosicRiver,Rock,Trichopetera,Hydropsychidae,51,8.5,1.2,Collector,1
HoosicRiver,Rock,Trichopetera,Hydropsychidae,51,11,2,Collector,1
HoosicRiver,Rock,Trichopetera,Hydropsychidae,51,9.3,1.8,Collector,1
HoosicRiver,Rock,Trichopetera,Hydropsychidae,51,8,0.6,Collector,1
HoosicRiver,Leaf,Trichopetera,Hydropsychidae,51,10,2,Collector,1
BirchRoad,Rock,Trichopetera,Hydropsychidae,51,5,0.7,Collector,1
BirchForest,Rock,Trichopetera,Hydropsychidae ,51,7,1,Collector,1
HoosicRiver,Rock,Trichopetera,Hydropsychidae,51,8,1.5,Collector,1
BirchForest,Rock,Trichopetera,Philopotamidae,52,15,1.5,Collector,3
BirchForest,Rock,Trichopetera,Philopotamidae,52,6,1,Collector,3
BirchForest,Rock,Trichopetera,Philopotamidae,52,5,1,Collector,3
HoosicRiver,Leaf,Trichopetera,Philopotamidae,52,7,1,Collector,3
HoosicRiver,Rock,Trichopetera,Philopotamidae,52,18,1.5,Collector,3
BirchForest,Rock,Trichopetera,Philopotamidae,52,5,1,Collector,3
HoosicRiver,Leaf,Trichopetera,Psychomyiidae,53,9,1,Collector,2
BirchForest,Leaf,Coleoptera,Dytiscidae,3,7,5,Predator,5
BirchForest,Leaf,Coleoptera,Dytiscidae,3,7,5,Predator,6
HoosicRiver,Rock,Coleoptera,Dytiscidae,3,15,6,Predator,5
HoosicRiver,Rock,Coleoptera,Dytiscidae,3,12.5,5.5,Predator,5
HoosicRiver,Rock,Coleoptera,Dytiscidae,3,18,6,Predator,5
HoosicRiver,Rock,Coleoptera,Dytiscidae,3,13,5,Predator,5
HoosicRiver,Rock,Coleoptera,Dytiscidae,3,13,5.5,Predator,5
BirchForest,Leaf,Coleoptera,Hydrophilidae,5,8,4,Predator,5
BirchForest,Leaf,Coleoptera,Hydrophilidae,5,10,5,Predator,5
BirchForest,Leaf,Coleoptera,Hydrophilidae,5,7,2,Predator,5
BirchForest,Leaf,Coleoptera,Hydrophilidae,5,6,4,Predator,5
BirchForest,Leaf,Coleoptera,Hydrophilidae,5,7,2,Predator,5
BirchForest,Leaf,Coleoptera,Hydrophilidae,5,6,4,Predator,5
BirchRoad,Leaf,Diptera,Athericidae,8,10,2,Predator,2
BirchRoad,Leaf,Diptera,Athericidae,8,7,2,Predator,2
BirchRoad,Leaf,Diptera,Athericidae,8,10.5,2.5,Predator,2
BirchRoad,Leaf,Diptera,Athericidae,8,9,2,Predator,2
BirchForest,Leaf,Diptera,Ceratopogonidae,9,13,2,Predator,6
BirchForest,Leaf,Diptera,Ceratopogonidae,9,15,2,Predator,6
BirchForest,Leaf,Diptera,Ceratopogonidae,9,19,3,Predator,6
BirchForest,Leaf,Diptera,Ceratopogonidae,9,16,3,Predator,6
BirchForest,Leaf,Diptera,Ceratopogonidae,9,7,2,Predator,6
BirchForest,Leaf,Diptera,Dolichopodiae,11,18,2,Predator,4
BirchForest,Leaf,Diptera,Dolichopodiae,11,22,4,Predator,4
BirchForest,Leaf,Diptera,Dolichopodiae,11,19,2,Predator,4
BirchForest,Leaf,Diptera,Tabanidae,13,36,3,Predator,6
BirchForest,Leaf,Hemiptera,Gerridae,32,13,2,Predator,8
HoosicRiver,Leaf,Hemiptera,Gerridae,32,4,2.5,Predator,8
HoosicRiver,Leaf,Odonota,Gomphidae,37,6,2.5,Predator,1
BirchRoad,Leaf,Odonota,,38,8.2,3.5,Predator,1
HoosicRiver,Rock,Odonota,,38,5,2.5,Predator,1
HoosicRiver,Rock,Odonota,,38,4,2,Predator,1
HoosicRiver,Rock,Odonota,,38,7,3,Predator,1
HoosicRiver,Rock,Odonota,,38,5,2,Predator,1
HoosicRiver,Rock,Odonota,,38,7,2,Predator,1
HoosicRiver,Rock,Odonota,,38,6,2,Predator,1
HoosicRiver,Rock,Odonota,,38,5,3,Predator,1
BirchRoad,Rock,Coleoptera,Capniidae,2,7,2.5,Scraper,2
BirchForest,Rock,Coleoptera,Elmidae,4,10,2.5,Scraper,8
HoosicRiver,Rock,Coleoptera,Elmidae,4,5.5,1.5,Scraper,9
BirchRoad,Leaf,Coleoptera,Elmidae,4,5.4,2.1,Scraper,5
BirchRoad,Leaf,Coleoptera,Elmidae,4,5.1,2,Scraper,6
BirchRoad,Leaf,Coleoptera,Elmidae,4,4.7,1.9,Scraper,7
HoosicRiver,Rock,Coleoptera,Psephenidae,6,9,6.5,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,4.5,3.5,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,8,6,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,7.7,5,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,8,4.5,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,8,6.2,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,6.9,5,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,7,5.2,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,7,5,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,7,6,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,8,6,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,9,6,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,5.7,7.3,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,8.1,5.2,Scraper,4
HoosicRiver,Rock,Coleoptera,Psephenidae,6,5,3.6,Scraper,4
BirchForest,Leaf,Coleoptera,,7,10,5,Scraper,2
BirchForest,Leaf,Coleoptera,,7,10,5,Scraper,2
BirchForest,Leaf,Coleoptera,,7,4,7,Scraper,2
HoosicRiver,Leaf,Coleoptera,,7,14,6,Scraper,
HoosicRiver,Leaf,Coleoptera,,7,14,6,Scraper,
BirchRoad,Leaf,Coleoptera,,7,15,3,Scraper,
BirchRoad,Leaf,Coleoptera,,7,5,2,Scraper,
BirchRoad,Leaf,Coleoptera,,7,20,3,Scraper,
BirchRoad,Leaf,Coleoptera,,7,15,2.5,Scraper,
BirchRoad,Leaf,Coleoptera,,7,15,2.5,Scraper,
BirchRoad,Leaf,Coleoptera,,7,16,2.5,Scraper,
BirchRoad,Leaf,Coleoptera,,7,15,2.5,Scraper,
