Group,Plot,NitrogenTreatment,BareSoil,EarthwormCasings,SoilTemp_C,SoilMoisture_Percent,Barberry,TotalEarthworms_Count,JumpingWorms_Count,NonJumpingWorms_Count,TotalEarthworms_g,Microaggregate_Fraction,Soil_pH,SoilCa_ppm,ProtectedC_Fraction,TotalCarbon_Percent,Macroaggregate_Fraction
GCACIS,2,FALSE,FALSE,TRUE,18.7,25,Greater50,0,0,0,0,0.151886236,4.85666667,403.5841295,0.641084904,3.304388285,0.622590628
LIndaCatherineElsa,3,TRUE,TRUE,TRUE,23.3,25.1,25,7,0,7,0.0395,0.128517812,5.24333333,489.0768927,0.362458161,4.317772388,0.705585242
JeaneBrodieArtie,4,TRUE,FALSE,TRUE,21.9,21.8,10,2,2,0,0.007,0.167859267,5.3,998.3425356,0.846521405,5.625826359,0.636551041
MollyAmayaElena,4,TRUE,FALSE,TRUE,22.8,24.9,10,0,0,0,0,0.167859267,5.3,998.3425356,0.846521405,5.625826359,0.636551041
LIndaCatherineElsa,5,FALSE,FALSE,TRUE,22.6,25.5,25,0,0,0,0,0.131841159,5.38666667,1469.506062,0.734870812,5.343995094,0.752170435
GCACIS,6,TRUE,FALSE,TRUE,19.3,27,50,1,0,1,0.016,0.109028213,5.64,1376.306864,0.873415176,5.636248589,0.800557994
GCACIS,6,TRUE,FALSE,TRUE,19.3,27,50,0,0,0,0,0.109028213,5.64,1376.306864,0.873415176,5.636248589,0.800557994
HadassahInnesCampbell,6,TRUE,,TRUE,22.4,29.3,50,6,0,0,0.0733,0.109028213,5.64,1376.306864,0.873415176,5.636248589,0.800557994
KJColeBen,7,FALSE,FALSE,FALSE,22.1,24.2,50,0,0,0,0,0.132597896,5.96333333,1654.012142,0.828048684,4.723690987,0.771639392
KJColeBen,7,FALSE,FALSE,FALSE,22.1,24.2,50,0,0,0,0,0.132597896,5.96333333,1654.012142,0.828048684,4.723690987,0.771639392
EllaRubyAnaSofiaEliza,7,FALSE,FALSE,TRUE,18.9,26.8,50,0,0,0,0,0.132597896,5.96333333,1654.012142,0.828048684,4.723690987,0.771639392
MollyAmayaElena,7,FALSE,FALSE,TRUE,23,27.1,25,0,0,0,0,0.132597896,5.96333333,1654.012142,0.828048684,4.723690987,0.771639392
RebeccaEmmaRiku,8,FALSE,TRUE,FALSE,21.7,12,25,2,1,1,0.0133,0.11641095,5.20333333,588.7394312,0.813541724,6.065692902,0.727843866
JulietAinsley,8,FALSE,FALSE,TRUE,22.1,24.2,0,3,0,3,0.0547,0.11641095,5.20333333,588.7394312,0.813541724,6.065692902,0.727843866
JuliaJaviElka,8,FALSE,TRUE,TRUE,17.2,13.8,0,4,0,4,0.0498,0.11641095,5.20333333,588.7394312,0.813541724,6.065692902,0.727843866
JeaneBrodieArtie,9,TRUE,FALSE,FALSE,21.7,19.3,1,0,0,0,0,0.120272758,5.21666667,519.4502723,0.427794795,3.817493439,0.717681555
JeaneBrodieArtie,9,TRUE,FALSE,FALSE,21.7,19.3,1,4,4,0,0.0785,0.120272758,5.21666667,519.4502723,0.427794795,3.817493439,0.717681555
JuliaJaviElka,9,TRUE,TRUE,FALSE,17.5,12.7,0,5,3,2,0.0263,0.120272758,5.21666667,519.4502723,0.427794795,3.817493439,0.717681555
JaeunColeIsabella,9,TRUE,TRUE,TRUE,22.1,16.2,0,35,8,27,0.5526,0.120272758,5.21666667,519.4502723,0.427794795,3.817493439,0.717681555
OSNLON,9,TRUE,FALSE,TRUE,19.7,13.2,0,2,0,2,0.056,0.120272758,5.21666667,519.4502723,0.427794795,3.817493439,0.717681555
OSNLON,9,TRUE,TRUE,TRUE,17.7,11.4,0,9,6,3,0.0996,0.120272758,5.21666667,519.4502723,0.427794795,3.817493439,0.717681555
JeaneBrodieArtie,10,TRUE,FALSE,FALSE,22.1,26.8,50,4,1,3,0.0753,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
HannahErinCole,10,TRUE,TRUE,FALSE,21.5,13.3,50,,,,0.4189,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
EllaRubyAnaSofiaEliza,10,TRUE,FALSE,TRUE,17.7,24.3,50,3,3,0,0.0868,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
JeaneBrodieArtie,10,TRUE,FALSE,TRUE,22.1,26.8,50,13,5,7,0.1298,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
LIndaCatherineElsa,10,TRUE,TRUE,TRUE,22.6,27.9,50,16,0,16,0.4921,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
JuliaJaviElka,10,TRUE,TRUE,TRUE,18.8,29.4,50,2,0,2,0.1029,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
KJColeBen,10,TRUE,TRUE,TRUE,21.7,27.9,50,15,0,15,1.2516,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
OSNLON,10,TRUE,TRUE,TRUE,17.7,24.3,50,10,8,2,0.1189,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
OSNLON,10,TRUE,TRUE,TRUE,17.3,23,50,12,7,5,0.2433,0.094882601,6.21333333,1665.075087,0.891820656,6.044190884,0.791456954
JuliaJaviElka,11,FALSE,FALSE,FALSE,17.7,25.8,25,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
JeaneBrodieArtie,11,FALSE,TRUE,FALSE,22,32.6,10,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
HannahErinCole,11,FALSE,TRUE,FALSE,21.9,31.2,25,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
EllaRubyAnaSofiaEliza,11,FALSE,FALSE,TRUE,18.6,27.9,25,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
GCACIS,11,FALSE,TRUE,TRUE,19.6,31,25,4,0,4,0.0019,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
JeaneBrodieArtie,11,FALSE,TRUE,TRUE,22,32.6,10,0,0,0,0,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
JaeunColeIsabella,11,FALSE,TRUE,TRUE,23.3,30.8,25,4,2,2,0.0823,0.151631321,6.49,1931.624429,0.861713289,4.875949383,0.745305057
LIndaCatherineElsa,12,TRUE,FALSE,FALSE,23,24.2,Greater50,2,0,2,0.0264,0.094391484,5.71,1228.533209,0.830424021,3.571756124,0.80974579
HannahErinCole,12,TRUE,FALSE,FALSE,22.4,29.6,50,1,0,1,0.0378,0.094391484,5.71,1228.533209,0.830424021,3.571756124,0.80974579
HannahErinCole,12,TRUE,TRUE,FALSE,22.4,29.6,50,0,0,0,0,0.094391484,5.71,1228.533209,0.830424021,3.571756124,0.80974579
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,23.3,21.4,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,6.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,6,0,6,0.0504,0.173382575,4.52,782.5633487,NA,7.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,8.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,9.730515003,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,FALSE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,10.730515,0.686843533
MeaghanJacquiJames,13,TRUE,FALSE,TRUE,22.1,22.7,50,0,0,0,0,0.173382575,4.52,782.5633487,NA,6.730515003,0.686843533
RebeccaEmmaRiku,14,TRUE,FALSE,FALSE,23.7,28.5,50,4,0,4,0.0022,0.087602009,6.70666667,1399.345638,0.884282416,4.91344738,0.83829253
GCACIS,14,TRUE,FALSE,TRUE,19.1,32,25,5,0,5,0.002,0.087602009,6.70666667,1399.345638,0.884282416,4.91344738,0.83829253
EllaRubyAnaSofiaEliza,15,TRUE,FALSE,TRUE,18.8,13.4,10,0,0,0,0,0.151330152,5.48666667,873.639299,0.782065698,3.598845243,0.712538026
RebeccaEmmaRiku,16,FALSE,TRUE,TRUE,21.7,14.8,10,0,0,0,0,0.107210526,6.28666667,610.8910976,0.710997363,3.116685867,0.773504644
EllaRubyAnaSofiaEliza,17,TRUE,FALSE,TRUE,17.9,29.1,25,0,0,0,0,0.107074869,6.48333333,1944.123087,0.843284262,4.848063469,0.772037145